Application_Type	Mobile_Platform	Browser	Programming_Language	Unit_Framework	Web_Frameworks	Mobile_Frameworks	Infrastructure
Hybrid	iOS	Chrome	JS	Mocha	CodeceptJS	Appium	Selenoid
Web	N/A	Firefox	JS	Jasmine	CodeceptJS	Detox	Selenium_Grid
Mobile_Native	iOS	N/A	Java	JUnit	N/A	XCUITest	Selenoid
Web	N/A	Firefox	JS	Mocha	Serenity	N/A	Selenium_Grid
Web	N/A	Chrome	JS	Jasmine	Playwrite	N/A	Selenoid
Mobile_Native	Android	N/A	Python	Nose2	N/A	Appium	Selenoid
Hybrid	iOS	Firefox	Python	N/A	Helium	XCUITest	Selenoid
Mobile_Native	Android	N/A	Python	Unittest	N/A	Appium	Selenoid
Web	N/A	Chrome	Java	N/A	Selenide	Appium	Selenium_Grid
Hybrid	iOS	Safari	JS	N/A	Puppeteer	Detox	Selenoid
Web	N/A	Firefox	Java	JUnit	Playwrite	Appium	Selenium_Grid
Hybrid	Android	Firefox	Java	TestNG	Selenide	Espresso	Selenoid
Web	N/A	Chrome	JS	Jasmine	WebdriverIO	Appium	Selenium_Grid
Mobile_Native	Android	N/A	JS	Mocha	N/A	Detox	Selenoid
Hybrid	iOS	Safari	JS	Mocha	WebdriverIO	XCUITest	Selenoid
Hybrid	iOS	Chrome	JS	Jest	Serenity	XCUITest	Selenoid
Web	N/A	Chrome	JS	Mocha	Cypress	N/A	Selenium_Grid
Web	N/A	Chrome	JS	N/A	CodeceptJS	N/A	Selenium_Grid
Web	N/A	Chrome	Python	PyTest	Helium	N/A	Selenium_Grid
Mobile_Native	Android	N/A	JS	Jest	N/A	Appium	Selenoid
Web	N/A	Chrome	Python	Unittest	Helium	N/A	Selenium_Grid
Mobile_Native	Android	N/A	C#	N/A	N/A	Xamarin	Selenoid
Web	N/A	Chrome	JS	N/A	Serenity	Appium	Selenium_Grid
Hybrid	iOS	Safari	JS	N/A	Cypress	XCUITest	Selenoid
Web	N/A	Firefox	JS	Jest	Cypress	Detox	Selenium_Grid
Web	N/A	Chrome	Python	Nose2	Playwrite	N/A	Selenium_Grid
Web	N/A	Chrome	C#	N/A	Playwrite	Xamarin	Selenium_Grid
Web	N/A	Chrome	JS	Jasmine	Puppeteer	N/A	Selenium_Grid
Hybrid	iOS	Firefox	JS	Mocha	Puppeteer	XCUITest	Selenoid
Hybrid	iOS	Safari	JS	Mocha	Playwrite	XCUITest	Selenoid
Hybrid	iOS	Safari	Python	Unittest	Helium	Appium	Selenoid
Web	N/A	Chrome	JS	Jest	Playwrite	N/A	Selenoid
Hybrid	iOS	Safari	Python	Nose2	Helium	XCUITest	Selenoid
Mobile_Native	Android	N/A	Java	TestNG	N/A	Espresso	Selenoid
Hybrid	iOS	Firefox	Python	PyTest	Playwrite	XCUITest	Selenoid
Hybrid	iOS	Safari	JS	Jest	CodeceptJS	XCUITest	Selenoid
Web	N/A	Firefox	Python	Nose2	Playwrite	N/A	Selenoid
Mobile_Native	Android	N/A	Python	PyTest	N/A	Appium	Selenoid
Web	N/A	Chrome	Java	JUnit	Selenide	N/A	Selenoid
Hybrid	iOS	Safari	JS	Jasmine	Cypress	XCUITest	Selenoid
Hybrid	Android	Chrome	Python	PyTest	Helium	Appium	Selenoid
Web	N/A	Chrome	JS	Jasmine	Playwrite	Detox	Selenium_Grid
Web	N/A	Chrome	JS	Jasmine	Serenity	Detox	Selenium_Grid
Hybrid	Android	Chrome	JS	Jasmine	Puppeteer	Appium	Selenoid
Hybrid	iOS	Safari	C#	N/A	Playwrite	XCUITest	Selenoid
Hybrid	iOS	Safari	Swift	N/A	Playwrite	XCUITest	Selenoid
Hybrid	iOS	Firefox	Python	Unittest	Playwrite	XCUITest	Selenoid
Hybrid	iOS	Safari	Java	TestNG	Selenide	XCUITest	Selenoid
Mobile_Native	Android	N/A	JS	Jasmine	N/A	Appium	Selenoid
Hybrid	Android	Chrome	JS	Jasmine	Serenity	Appium	Selenoid
Hybrid	Android	Chrome	Java	JUnit	Playwrite	Espresso	Selenoid
Web	N/A	Chrome	Java	TestNG	Playwrite	Appium	Selenium_Grid
Mobile_Native	iOS	N/A	Swift	N/A	N/A	XCUITest	Selenoid
Web	N/A	Firefox	JS	N/A	WebdriverIO	N/A	Selenium_Grid
Hybrid	iOS	Firefox	Swift	N/A	Playwrite	XCUITest	Selenoid
Hybrid	Android	Chrome	JS	N/A	CodeceptJS	Appium	Selenoid
Hybrid	Android	Chrome	JS	Jest	WebdriverIO	Detox	Selenoid
Hybrid	Android	Chrome	Java	N/A	Selenide	Espresso	Selenoid
Web	N/A	Firefox	C#	N/A	Playwrite	N/A	Selenium_Grid
Hybrid	iOS	Safari	Python	PyTest	Helium	Appium	Selenoid
Web	N/A	Firefox	C#	N/A	Playwrite	Xamarin	Selenium_Grid
Mobile_Native	iOS	N/A	C#	N/A	N/A	Appium	Selenoid
Hybrid	iOS	Safari	C#	N/A	Playwrite	Xamarin	Selenoid
Web	N/A	Chrome	JS	Jest	Puppeteer	N/A	Selenium_Grid
Hybrid	iOS	Chrome	Swift	N/A	Playwrite	XCUITest	Selenoid
Hybrid	iOS	Safari	Java	JUnit	Playwrite	Appium	Selenoid
Web	N/A	Firefox	JS	N/A	Cypress	Appium	Selenium_Grid
Hybrid	Android	Firefox	JS	Jasmine	Cypress	Detox	Selenoid
Hybrid	iOS	Safari	JS	Jasmine	Serenity	Detox	Selenoid
Web	N/A	Firefox	Java	TestNG	Selenide	N/A	Selenoid
